fname,paras,para_windows,para_windows_proc,annotations,annot_count
100999172-House-Rental-Agreement  ,"The tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear.","The landlord shall pay all existing and future taxes, rates and assessments in respect of the lease hold including the municipal or other tax assessed by a local authority on the value of the building or annual letting value of the building and all other rates, taxes and assessments levied by any authority whatsoever. The tenant shall pay the electricity and water supply charges for the period of time he occupies the premises. The tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear.","the landlord shall pay all existing and future taxes, rates and assessments in respect of the lease hold including the municipal or other tax assessed by a local authority on the value of the building or annual letting value of the building and all other rates, taxes and assessments levied by any authority whatsoever. the tenant shall pay the electricity and water supply charges for the period of time he occupies the premises. the tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
100999172-House-Rental-Agreement  ,The tenant also agreed not to let out the building or a portion of it to anybody else.,"The tenant shall pay the electricity and water supply charges for the period of time he occupies the premises. The tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear. The tenant also agreed not to let out the building or a portion of it to anybody else.","the tenant shall pay the electricity and water supply charges for the period of time he occupies the premises. the tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear. the tenant also agreed not to let out the building or a portion of it to anybody else.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
100999172-House-Rental-Agreement  ,The tenant shall not commit any act of waste in the premises.,"The tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear. The tenant also agreed not to let out the building or a portion of it to anybody else. The tenant shall not commit any act of waste in the premises.","the tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear. the tenant also agreed not to let out the building or a portion of it to anybody else. the tenant shall not commit any act of waste in the premises.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
100999172-House-Rental-Agreement  ,11 The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord.,The tenant also agreed not to let out the building or a portion of it to anybody else. The tenant shall not commit any act of waste in the premises. 11 The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord.,the tenant also agreed not to let out the building or a portion of it to anybody else. the tenant shall not commit any act of waste in the premises. 11 the tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
100999172-House-Rental-Agreement  ,12.The landlord shall retain the original of this agreement and the tenant shall retain its duplicate.,The tenant shall not commit any act of waste in the premises. 11 The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord. 12.The landlord shall retain the original of this agreement and the tenant shall retain its duplicate.,the tenant shall not commit any act of waste in the premises. 11 the tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord. 12.the landlord shall retain the original of this agreement and the tenant shall retain its duplicate.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
100999172-House-Rental-Agreement  ,"WITNESS WHERE OF Namashivayam , the landlord and Mrs.Thenmalar, the tenant have affixed their signatures on Jan 10, 2011.","11 The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord. 12.The landlord shall retain the original of this agreement and the tenant shall retain its duplicate. WITNESS WHERE OF Namashivayam , the landlord and Mrs.Thenmalar, the tenant have affixed their signatures on Jan 10, 2011.","11 the tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord. 12.the landlord shall retain the original of this agreement and the tenant shall retain its duplicate. witness where of namashivayam , the landlord and mrs.thenmalar, the tenant have affixed their signatures on jan 10, 2011.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-P1', 'O', 'O', 'O', 'O', 'B-P2', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",3
100999172-House-Rental-Agreement  ,(Land Lord),"12.The landlord shall retain the original of this agreement and the tenant shall retain its duplicate. WITNESS WHERE OF Namashivayam , the landlord and Mrs.Thenmalar, the tenant have affixed their signatures on Jan 10, 2011. (Land Lord)","12.the landlord shall retain the original of this agreement and the tenant shall retain its duplicate. witness where of namashivayam , the landlord and mrs.thenmalar, the tenant have affixed their signatures on jan 10, 2011. (land lord)","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-P1', 'O', 'O', 'O', 'O', 'B-P2', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",3
100999172-House-Rental-Agreement  ,(Tenant),"WITNESS WHERE OF Namashivayam , the landlord and Mrs.Thenmalar, the tenant have affixed their signatures on Jan 10, 2011. (Land Lord) (Tenant)","witness where of namashivayam , the landlord and mrs.thenmalar, the tenant have affixed their signatures on jan 10, 2011. (land lord) (tenant)","['O', 'O', 'O', 'B-P1', 'O', 'O', 'O', 'O', 'B-P2', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",3
100999172-House-Rental-Agreement  ,Witness:,(Land Lord) (Tenant) Witness:,(land lord) (tenant) witness:,"['O', 'O', 'O', 'O']",1
116950326-December-2012-Rental-Agreement  ,ROOM RENTAL AGREEMENT,ROOM RENTAL AGREEMENT,room rental agreement,"['O', 'O', 'O']",1
